Latin,"Translation 1","Translation 2","Translation 3","Translation 4","Translation 5","Translation 6","Translation 7","Translation 8","Translation 9","Translation 10","Translation 11"
"mīlitēs contrā rēgem malum arma gerent. nam sub auctoritāte istīus vīvere nōn possunt.","The soldiers will carry weapons against the evil king. For they are not able to live under the authority of that king.","The soldiers will carry arms against the evil king. For they are not able to live under the authority of that king.","The soldiers will carry weapons against the evil king. For they are not able to live under his authority.","The soldiers will carry arms against the evil king. For they are not able to live under his authority.","The soldiers will carry weapons against the bad king. For they are not able to live under the authority of that king.","The soldiers will carry arms against the bad king. For they are not able to live under the authority of that king.","The soldiers will carry weapons against the bad king. For they are not able to live under his authority.","The soldiers will carry arms against the bad king. For they are not able to live under his authority.","The soldiers will carry weapons against the evil king. For they are not able to live under that king's authority.","The soldiers will carry arms against the evil king. For they are not able to live under that king' s authority.",
"et philosophus et poēta dē iīsdem scrībunt. aliī autem sapientiam philosophōrum laudant, aliī poētārum verba.","Both the philosopher and the poet write about the same things. However some praise the wisdom of the philosophers, others praise the words of the poets.","Both the philosopher and the poet write about the same things. However some praise the words of the poets, others praise the wisdom of the philosphers.","Both the philosopher and the poet write about the same things. However some praise the wisdom of philosophers, others praise the words of poets.","Both the philosopher and the poet write about the same things. However some praise the wisdom of the philosophers, others the words of the poets.","Both the philosopher and the poet write about the same things. However some praise the wisdom of philosophers, others the words of poets.",,,,,,
"īdem rēx cum patre fīliōque ē patriā fugiēbat. nam Graecī hanc vīcērant.","The same king was fleeing from his homeland with his father and son. For the Greeks had conquered it.","The same king was fleeing from the homeland with the father and son. For the Greeks had conquered it.","The same king was fleeing from his fatherland with his father and son. For the Greeks had conquered it.","The same king was fleeing from the fatherland with his father and son. For the Greeks had conquered it.","The same king was fleeing from the fatherland with the father and son. For the Greeks had conquered it.","The same king was fleeing from his homeland with his father and son. For the Greek people had conquered it.","The same king was fleeing from the homeland with the father and son. For the Greek people had conquered it.","The same king was fleeing from his fatherland with his father and son. For the Greek people had conquered it.","The same king was fleeing from the fatherland with his father and son. For the Greek people had conquered it.","The same king was fleeing from the fatherland with the father and son. For the Greek people had conquered it.",
"quamquam nihil scrīpseras, tamen dē factīs tuīs tōtus populus audīvit.","Although you had written nothing, nevertheless the whole nation heard about your deeds.","Although you had written nothing, nevertheless the entire nation heard about your deeds.","Although you had written nothing, nevertheless the whole people heard about your deeds.","Although you had written nothing, nevertheless the entire people heard about your deeds.","Although you had written nothing, nevertheless the whole nation heard about your accomplishments.","Although you had written nothing, nevertheless the entire nation heard about your accomplishments.","Although you had written nothing, nevertheless the whole people heard about your accomplishments.","Although you had written nothing, nevertheless the entire people heard about your accomplishments.","Although you had written nothing, nevertheless the whole nation has heard about your deeds.","Although you had written nothing, nevertheless the entire nation has heard about your deeds.",
"tōta Ītalia in potestāte Rōmānōrum diū fuerat. illam enim imperātōrēs hōrum vīcerunt.","The whole of Italy had been in the power of the Romans for a long time. For the generals of these Romans conquered it.","The whole of Italy had been in the power of the Romans for a long time. For their generals conquered it.","The whole of Italy had been in the power of the Romans for a long time. For the generals of these Romans conquered her.","The whole of Italy had been in the power of the Romans for a long time. For their generals conquered her.","The whole of Italy had been in the power of the Romans for a long time. For these Romans' generals conquered it.","The whole of Italy had been in the power of the Romans for a long time. For these Romans' generals conquered her.","The whole of Italy had been in the power of the Romans for a long time. For the emperors of these Romans conquered it.","The whole of Italy had been in the power of the Romans for a long time. For their emperors conquered it.","The whole of Italy had been in the power of the Romans for a long time. For the emperors of these Romans conquered her.","The whole of Italy had been in the power of the Romans for a long time. For their emperors conquered her.",
"quamquam Mārcus mihi dē tuīs factīs culpābat, eadem eī dē tē dīcēbam, sed nōn audiēbat.","Although Marcus was blaming me about your deeds, I was saying the same things to him about you, but he was not listening. ","Although Marcus was finding fault with me about your deeds, I was saying the same things to him about you, but he was not listening. ","Although Marcus used to blame me about your deeds, I used to say the same things to him about you, but he did not listen. ","Although Marcus used to find fault with me about your deeds, I used to say the same things to him about you, but he did not listen. ","Although Marcus used to blame me about your deeds, I used to say the same things to him about you, but he was not listening. ","Although Marcus used to find fault with me about your deeds, I used to say the same things to him about you, but he was not listening. ","Although Marcus was blaming me about your deeds, I was saying the same things to him about you, but he did not listen. ","Although Marcus was finding fault with me about your deeds, I was saying the same things to him about you, but he did not listen. ","Although Marcus was blaming me about your acts, I was saying the same things to him about you, but he was not listening. ","Although Marcus was finding fault with me about your acts, I was saying the same things to him about you, but he was not listening. ",
"voluptās nūllum habet cum virtūte commercium.","Pleasure has no fellowship with virtue.","Pleasure has no business with virtue.","Pleasure has no communication with virtue.",,,,,,,,
"ubi sunt quī ante nōs in mundō fuērunt?","Where are those who were in the world before us?","Where are those who have been in the world before us?","Where are those who existed in the world before us?","Where are those who have existed in the world before us?",,,,,,,
"lībertātem nēmō bonus āmittit nisi cum vitā simul.","No one good lets go of liberty except with their life at the same time.","No one good lets go of their liberty except with their life at the same time.","No one good lets go of freedom except with their life at the same time.","No one good lets go of their freedom except with their life at the same time.","No one good lets go of liberty except with his life at the same time.","No one good lets go of his liberty except with his life at the same time.","No one good lets go of freedom except with his life at the same time.","No one good lets go of his freedom except with his life at the same time.","No good man lets go of freedom except with his life at the same time.","No good person lets go of freedom except with their life at the same time.",
"cum ceciderit inimīcus tuus, nōlī gaudēre.","When your enemy will have fallen, don't rejoice.","When your enemy  will have fallen, do not rejoice.","When your enemy shall have fallen, don't rejoice.","When your enemy shall have fallen, do not rejoice.",,,,,,,
"ubi multa capita, ibi multae sententiae.","Where there are many heads, there are many opinions.","Where there are many heads, there are many ideas.","Where there are many heads, there are many judgements.","Where there are many heads, in that place there are many opinions.","Where there are many heads, in that place there are many ideas.","Where there are many heads, in that place there are many judgements.","Where many heads exist, there many opinions exist.","Where many heads exist, there many ideas exist.","Where many heads exist, there many judgements exist.","When there are many heads, then there are many opinions.",
"dīcere bene nēmō potest, nisi bene intellegit.","No one is able to speak well, unless they understand well.","No one can speak well, unless they understand well.","No one is able to speak well, unless he understands well.","No one can speak well, unless he understands well.","No one is able to speak well, unless she understands well.","No one can speak well, unless she understands well.","Nobody is able to speak well, unless they understand well.","Nobody can speak well, unless they understand well.","Nobody can speak well, unless he understands well.","Nobody can speak well, unless she understands well.",
"ubi lībertās cecidit, audet līberē nēmō dīcere.","Where liberty has fallen, no one dares to speak freely.","Where liberty fell, no one dares to speak freely.","Where freedom has fallen, no one dares to speak freely.","Where freedom fell, no one dares to speak freely.","When liberty has fallen, no one dares to speak freely.","When freedom has fallen, no one dares to speak freely.","Where liberty has fallen, nobody dares to speak freely.","Where freedom has fallen, nobody dares to speak freely.","Where liberty fell, nobody dares to speak freely.","Where freedom fell, nobody dares to speak freely.",
"nēmō nostrum īdem est in senectūte.","None of us is the same in old age.","None of us is the same man in old age.","None of us is the same person in old age. ",,,,,,,,
"nātūram vocā, fātum, fortūnam; haec eiusdem deī nōmina sunt.","Summon nature, fate, and fortune; these are the names of the same god.","Call nature, fate, and fortune; these are the names of the same god.","Invite nature, fate, and fortune; these are the names of the same god.","Summon nature, fate, and luck; these are the names of the same god.","Call nature, fate, and luck; these are the names of the same god.","Invite nature, fate, and luck; these are the names of the same god.",,,,,
"amīcō inimīcōque bonum semper dā cōnsilium: quia amīcus accipiēt, inimīcus spernet.","Always give good advice to a friend and an enemy: because a friend will accept it, an enemy will spurn it.","Always give good counsel to a friend and an enemy: because a friend will accept it, an enemy will spurn it.","Always offer good advice to a friend and an enemy: because a friend will accept it, an enemy will spurn it.","Always offer good counsel to a friend and an enemy: because a friend will accept it, an enemy will spurn it.","Always give good advice to a friend and an enemy: because a friend shall accept it, an enemy shall spurn it.","Always give good counsel to a friend and an enemy: because a friend shall accept it, an enemy shall spurn it.","Always give good advice to a friend and an enemy: because a friend will accept it, an enemy will reject it.","Always give good counsel to a friend and an enemy: because a friend will accept it, an enemy will reject it.","Always give good advice to your friend and your enemy: because your friend will accept it, your enemy will spurn it.","Always give good advice to your friend and your enemy: because a friend will accept it, an enemy will spurn it.",
"prīmum principium nostrae lībertātis est lībertās arbitriī; eam autem multī habent in verbīs, sed in intellectū paucī.","The first beginning of our liberty is the liberty of judgement; however many have it in words, but few have it in intellect.","The first beginning of our liberty is the liberty of judgement; however many men have it in words, but few men have it in intellect.","The first beginning of our liberty is the liberty of judgement; however many people have it in words, but few people have it in intellect.","The first beginning of our liberty is the liberty of judgement; however many have it in words, but few in intellect.","The first beginning of our liberty is the liberty of judgement; however many men have it in words, but few men in intellect.","The first beginning of our liberty is the liberty of judgement; however many people have it in words, but few people in intellect.","The first beginning of our liberty is the liberty of judgement; however many have it in words, but few have it in understanding.","The first beginning of our freedom is the freedom of judgement; however many have it in words, but few have it in intellect.","The first beginning of our freedom is the freedom of judgment; however many men have it in words, but few men have it in intellect.","The first beginning of our freedom is the freedom of judgment; however many people have it in words, but few people have it in intellect.",
"parvus error in principiō magnus erit in fīne.","A small error in the beginning will be great in the end.","A small error in the beginning shall be great in the end.","A small error in the beginning will be a great one in the end.","A small error in the beginning shall be a great one in the end.",,,,,,,
"Pompēius solet aliud sentīre et aliud dīcere.","Pompey is accustomed to think one thing and say another.","Pompey is accustomed to think one thing and speak another.","Pompey is accustomed to think one thing and to say another.","Pompey is accustomed to think one thing and to speak another.",,,,,,,
"inter frātrem sorōremque nuptiae prohibitae sunt, sī ab eōdem patre eādemque mātre līberī sunt, aut sī ex utrō eōrum.","Marriage between a brother and sister is prohibited, if the children are from the same father and the same mother, or if they are from either of them.","A marriage between a brother and sister is prohibited, if the children are from the same father and the same mother, or if they are from either of them.","Nuptials between a brother and sister are prohibited, if the children are from the same father and the same mother, or if they are from either of them.","Marriage between a brother and sister is prohibited, if the children are from the same father and the same mother, or if from either of them."," A marriage between a brother and sister is prohibited, if the children are from the same father and the same mother, or if from either of them.","Nuptials between a brother and sister are prohibited, if the children are from the same father and the same mother, or if from either of them.","Marriage between brother and sister is prohibited, if the children are from the same father and the same mother, or if they are from either of them.","A marriage between brother and sister is prohibited, if the children are from the same father and the same mother, or if they are from either of them.","Nuptials between brother and sister are prohibited, if the children are from the same father and the same mother, or if they are from either of them.","Marriage between brother and sister is prohibited, if the children are from the same father and the same mother, or if from either of them.",
"patria mea tōtus hīc mundus est.","My homeland is this whole world.","My fatherland is this whole world.","My country is this whole world.","This whole world is my homeland.","This whole world is my fatherland.","This whole world is my country.","My homeland is this entire world.","My fatherland is this entire world.","This entire world is my homeland.","This entire world is my fatherland.",
"optimus enim ōratōr animōs nostrōs et docet et dēlectat et permovet.","For the best orator both teaches and delights as well as moves our minds.","For the best orator both teaches and delights as well as moves our souls.","For the best orator teaches, delights, and moves our minds.","For the best orator teaches, delights, and moves our souls.","For a very good orator both teaches and delights as well as moves our minds.","For a very good orator both teaches and delights as well as moves our souls.","For a very good orator teaches, delights, and moves our minds.","For a very good orator teaches, delights, and moves our souls.","For the best orator teaches, pleases, and moves our minds.","For the best orator teaches, pleases, and moves our souls.",
"vīvam, sī vivet; si cadet illa, cadam.","I will live, if she will live; if she will fall, I will fall.","I shall live, if she shall live; if she shall fall, I shall fall.","I will live, if she will live; if she will die, I will die.","I shall live, if she shall live; if she shall die, I shall die.",,,,,,,
"nec ūllum scelus impūnītum est, quoniam sceleris in scelere poena est.","No crime is unpunished, since the penalty of the crime is in the crime.","No crime is unpunished, since the punishment of the crime is in the crime.","No crime is unpunished, since the penalty of the crime is in the crime itself.","No crime is unpunished, since the punishment of the crime is in the crime itself.","And no crime is unpunished, since the penalty of the crime is in the crime.","And no crime is unpunished, since the punishment of the crime is in the crime.","And no crime is unpunished, since the penalty of the crime is in the crime itself.","And no crime is unpunished, since the punishment of the crime is in the crime itself.","No evil deed is unpunished, since the penalty of the evil deed is in the evil deed.","No evil deed is unpunished, since the punishment of the evil deed is in the evil deed.",
"quid est sapientia? semper īdem cupere atque īdem nōn cupere.","What is wisdom? Always to desire the same thing and not desire the same thing.","What is discernment? Always to desire the same thing and not desire the same thing.","What is wisdom? Always to desire the same thing and not to desire the same thing.","What is discernment? Always to desire the same thing and not to desire the same thing.","What is wisdom? It is always to desire the same thing and not desire the same thing.","What is discernment? It is always to desire the same thing and not desire the same thing.","What is wisdom? It is always to desire the same thing and not to desire the same thing.","What is discernment? It is always to desire the same thing and not to desire the same thing.",,,
"nēmō nostrum īdem est in senectūte, ut fuit iuvenis; nēmō nostrum est īdem hodiē, ut fuit herī.","None of us is the same in old age as they were in youth; none of us is the same today as they were yesterday.","None of us is the same man in old age as he was in youth; none of us is the same man today as he was yesterday.","None of us is the same person in old age as they were in youth; none of us is the same person today as they were yesterday.","None of us is the same in old age as he was in youth; none of us is the same today as he was yesterday.","None of us is the same man in old age as he was in his youth; none of us is the same man today as he was yesterday.","None of us is the same person in old age as they were in their youth; none of us is the same person today as they were yesterday.","None of us is the same in old age as they were in their youth; none of us is the same today as they were yesterday.","None of us is the same in old age as he was in his youth; none of us is the same today as he was yesterday.",,,
"nautam mortuum ē marī trāximus dum uxor eius vidēbat.","We dragged the dead sailor from the sea while his wife was watching.","We dragged the dead sailor from the sea while his wife watched.","We drew the dead sailor from the sea while his wife was watching.","We drew the dead sailor from the sea while his wife watched.","We dragged the dead sailor from the sea while his wife was looking.","We dragged the dead sailor from the sea while his wife looked.","We drew the dead sailor from the sea while his wife was looking.","We drew the dead sailor from the sea while his wife looked.","We dragged a dead sailor from the sea while his wife was watching.","We dragged a dead sailor from the sea while his wife watched.",
"vīvere bene dēbēmus dum iuvenēs sumus, nam senectūs veniet, et post eam, mors; post mortem, nihil erit!","We must live well while we are young, for old age will come, and after that, death; after death, there will be nothing!","We ought to live well while we are young, for old age will come, and after that, death; after death, there will be nothing!","We must live well while we are young, for old age will be coming, and after that, death; after death, there will be nothing!","We ought to live well while we are young, for old age will be coming, and after that, death; after death, there will be nothing!","We must live well while we are young, for old age shall come, and after it, death; after death, there shall be nothing!","We ought to live well while we are young, for old age shall come, and after it, death; after death, there shall be nothing!","We must live well while we are young, for old age will come, and after it, death; after death, there will be nothing!","We ought to live well while we are young, for old age will come, and after it, death; after death, there will be nothing!","We must live well while we are young, for old age will come, and after old age, death; after death, there will be nothing!","We ought to live well while we are young, for old age will come, and after old age, death; after death, there will be nothing!",
"monuēruntne imperātōrem mīlitēs dē vīribus illārum urbium?","Did the soldiers warn the general about the strength of those cities?","Did the soldiers warn the commander about the strength of those cities?","Did the soldiers warn the emperor about the strength of those cities?","Have the soldiers warned the general about the strength of those cities?","Have the soldiers warned the commander about the strength of those cities?","Have the soldiers warned the emperor about the strength of those cities?","Did the soldiers warn the general about those cities' strength?","Did the soldiers warn the commander about those cities' strength?","Did the soldiers warn the emperor about those cities' strength?","Have the soldiers warned the general about those cities' strength?",
"ubi est honōris signum, ibi latet saepe cor malum.","Where there is a sign of honour, there an evil heart often lurks.","Where there is a sign of honour, there an evil heart often hides.","Where there is a signal of honour, there an evil heart often lurks.","Where there is a signal of honour, there an evil heart often hides.","Where there is a sign of honour, there a bad heart often lurks.","Where there is a sign of honour, there a bad heart often hides.","Where there is a signal of honour, there a bad heart often lurks.","Where there is a signal of honour, there a bad heart often hides.","Where there is a sign of honour, there an evil heart is often concealed.","Where there is a signal of honour, there an evil heart is often concealed.",
"haec dēbēmus incipere dum vīrēs habēmus. crās enim nova perīcula venient.","We must begin these things while we have strength. For tomorrow new dangers will come.","We must begin these things while we have the strength. For tomorrow new dangers will come.","We must begin these things while we have strength. For tomorrow the new dangers will come.","We ought to begin these things while we have strength. For tomorrow new dangers will come.","We ought to begin these things while we have the strength. For tomorrow new dangers will come.","We ought to begin these things while we have strength. For tomorrow the new dangers will come.","We must begin these things while we have strength. For tomorrow new dangers shall come.","We must begin these things while we have the strength. For tomorrow new dangers shall come.","We ought to begin these things while we have strength. For tomorrow new dangers shall come.","We ought to begin these things while we have the strength. For tomorrow new dangers shall come.",
"intellegitne iam omnia iūra hōrum?","Does he now understand all of the rights of these men?","Does she now understand all of the rights of these men?","Does he already understand all of the rights of these men?","Does she already understand all of the rights of these men?","Does he now understand all of the rights of these people?","Does she now understand all of the rights of these people?","Does he already understand all of the rights of these people?","Does she already understand all of the rights of these people?","Is he now understanding all of the rights of these men?","Is she now understanding all of the rights of these men?",
"haec perīcula intellegimus, nam amīcus noster nōs dē hīs per epistulam monuit.","We understand these dangers, for our friend warned us about these things through a letter.","We understand these dangers, for our friend warned us about them through a letter.","We understand these dangers, for our friend warned us about these things through his letter.","We understand these dangers, for our friend warned us about them through his letter.","We understand these dangers, for our friend has warned us about these things through a letter.","We understand these dangers, for our friend has warned us about them through a letter.","We understand these dangers, for our friend has warned us about these things through his letter.","We understand these dangers, for our friend has warned us about them through his letter.","We understand these risks, for our friend warned us about them through a letter.","We understand these risks, for our friend has warned us about them through a letter.",
"ille senex similis est alterī fratrī, dissimilis alterī.","That old man is similar to one brother, dissimilar to the other.","That old man is like one brother, unlike the other.","That old man is like the one brother, unlike the other.","That old man is like the one brother, unlike the other brother.",,,,,,,
"sine imperātōre turba mīlitum corpus est sine ratiōne.","A crowd of soldiers without a general is a body without reason.","A crowd of soldiers without a general is a body without a plan.","A mob of soldiers without a general is a body without reason.","A mob of soldiers without a general is a body without a plan.","A crowd of soldiers without a commander is a body without reason.","A crowd of soldiers without a commander is a body without a plan.","A mob of soldiers without a commander is a body without reason.","A mob of soldiers without a commander is a body without a plan.","Without a general, a crowd of soldiers  is a body without reason.","Without a commander, a mob of soldiers  is a body without reason.",
"aqua ex marī acerba est. ergō nēmō eam bibere potest.","Water from the sea is bitter. Therefore no one can drink it.","Water from the sea is bitter. Therefore nobody can drink it.","The water from the sea is bitter. Therefore no one can drink it.","The water from the sea is bitter. Therefore nobody can drink it.","Water from the sea is bitter. Therefore no one is able to drink it.","Water from the sea is bitter. Therefore nobody is able to drink it.","The water from the sea is bitter. Therefore no one is able to drink it.","The water from the sea is bitter. Therefore nobody is able to drink it.","Water from the sea is harsh. Therefore no one can drink it.","Water from the sea is harsh. Therefore nobody can drink it.",
"fortēs virī et fēminae in omnī civitāte vīvēbant. nunc autem nūllī fortēs inter nōs vīvunt.","Strong men and women were living in every state. However no strong people live among us now.","Strong men and women used to live in every state. However no strong people live among us now.","Brave men and women were living in every state. However no brave people live among us now.","Brave men and women used to live in every state. However no brave people live among us now.","Vigorous men and women were living in every state. However no vigorous people live among us now.","Vigorous men and women used to live in every state. However no vigorous people live among us now.","Strong men and women were living in every state. However no strong people are living among us now.","Strong men and women used to live in every state. However no strong people are living among us now.","Brave men and women were living in every state. However no brave people are living among us now.","Brave men and women used to live in every state. However no brave people are living among us now.",
"potestne pāx inter hōs potēntēs esse? nam hī semper fuērunt inimīcī atque amīcī numquam erunt.","Can there be peace between these powerful men? For they have always been enemies and will never be friends.","Can there be peace among these powerful men? For they have always been enemies and will never be friends.","Can there be peace between these powerful people? For they have always been enemies and will never be friends.","Can there be peace among these powerful people? For they have always been enemies and will never be friends.","Can there be peace between these powerful men? For these men have always been enemies and will never be friends.","Can there be peace among these powerful men? For these men have always been enemies and will never be friends.","Can there be peace between these powerful people? For these people have always been enemies and will never be friends.","Can there be peace among these powerful people? For these people have always been enemies and will never be friends.","Can there be peace between these powerful men? For they were always enemies and will never be friends.","Can there be peace among these powerful men? For they were always enemies and will never be friends.",
"carmina illīus poetae sunt brevia, sed plēna gravium sententiārum. aliī igitur in hīs virtūtem inveniunt, aliī voluptātem.","The poems of that poet are short, but they are full of important ideas. Therefore some find virtue in them, others find pleasure.","The songs of that poet are short, but they are full of important ideas. Therefore some find virtue in them, others find pleasure.","The poems of that poet are short, but they are full of serious ideas. Therefore some find virtue in them, others find pleasure.","The songs of that poet are short, but they are full of serious ideas. Therefore some find virtue in them, others find pleasure.","The poems of that poet are short, but they are full of important opinions. Therefore some find virtue in them, others find pleasure.","The songs of that poet are short, but they are full of important opinions. Therefore some find virtue in them, others find pleasure.","The poems of that poet are short, but they are full of serious opinions. Therefore some find virtue in them, others find pleasure.","The songs of that poet are short, but they are full of serious opinions. Therefore some find virtue in them, others find pleasure.","The poems of that poet are short, but they are full of serious ideas. Therefore some find virtue in these poems, others find pleasure.","The songs of that poet are short, but they are full of serious ideas. Therefore some find virtue in these songs, others find pleasure.",
"via ad urbem hanc difficilis longaque est. paucī igitur ibi vīvere cupiunt.","The road to this city is difficult and long. Therefore few desire to live there.","The way to this city is difficult and long. Therefore few desire to live there.","The road to this city is difficult and long. Therefore few people desire to live there.","The way to this city is difficult and long. Therefore few people desire to live there.","The road to this city is difficult and long. Therefore few men desire to live there.","The way to this city is difficult and long. Therefore few men desire to live there.",,,,,
"auribus lupum teneō.","I am restraining the wolf by the ears.","I am holding the wolf by the ears.","I hold the wolf by the ears.","I restrain the wolf by the ears.","I am holding a wolf by the ears.","I hold a wolf by the ears.","I am restraining a wolf by the ears.","I restrain a wolf by the ears.",,,
"nōn vīribus aut celeritāte corporum facta magna gerimus, sed cōnsiliō, auctōritāte, sententiā.","We perform great deeds not by means of the strength or quickness of bodies, but by means of counsel, authority, and judgment.","We perform great deeds not by means of the strength or quickness of bodies, but by means of advice, authority, and judgment.","We perform great deeds not by means of the strength or quickness of bodies, but by means of counsel, dignity, and judgment.","We perform great deeds not by means of the strength or quickness of bodies, but by means of advice, dignity, and judgment.","We accomplish great deeds not by means of the strength or quickness of bodies, but by means of counsel, authority, and judgment.","We accomplish great deeds not by means of the strength or quickness of bodies, but by means of advice, authority, and judgment.","We accomplish great deeds not by means of the strength or quickness of bodies, but by means of counsel, dignity, and judgment.","We accomplish great deeds not by means of the strength or quickness of bodies, but by means of advice, dignity, and judgment.","We conduct great deeds not by means of the strength or quickness of bodies, but by means of counsel, authority, and judgment.","We conduct great deeds not by means of the strength or quickness of bodies, but by means of advice, authority, and judgment.",
"dīvīna nātūra dedit agrōs, ars hūmāna fēcit urbēs.","Divine nature gave the fields, human skill made the cities.","Divine nature gave the lands, human skill made the cities.","Divine nature offered the fields, human skill made the cities.","Divine nature offered the lands, human skill made the cities.","Divine nature gave fields, human skill made cities.","Divine nature gave lands, human skill made cities.","Divine nature gave the fields, human skill built the cities.","Divine nature gave the lands, human skill built the cities.","Divine nature has given the fields, human skill has built the cities.","Divine nature has given the fields, human skill has made the cities.",
"tūne cīvem ab hoste nātūrā ac locō, nōn animō factīsque distinguis?","Do you distinguish a citizen from an enemy by nature and place, not by spirit and actions?","Do you distinguish a citizen from an enemy by nature and place, not by mind and actions?","Do you distinguish a citizen from an enemy by nature and place, not by spirit and deeds?","Do you distinguish a citizen from an enemy by nature and place, not by mind and deeds?","Do you distinguish a citizen from an enemy by nature and location, not by spirit and actions?","Do you distinguish a citizen from an enemy by nature and location, not by mind and actions?","Do you distinguish a citizen from an enemy by nature and location, not by spirit and deeds?","Do you distinguish a citizen from an enemy by nature and location, not by mind and deeds?",,,
"inter cor meum et cor tuum nūlla sunt auxilia praeter ōs meum et aurēs tuās.","Between my heart and your heart there are no aids except for my face and your ears.","Among my heart and your heart there are no aids except for my face and your ears.","Between my heart and your heart there is no assistance except for my face and your ears.","Among my heart and your heart there is no assistance except for my face and your ears.","Between my heart and your heart there is no help except for my face and your ears.","Among my heart and your heart there is no help except for my face and your ears.","Between my heart and your heart there are no aids except for my mouth and your ears.","Between my heart and your heart there is no assistance except for my mouth and your ears.","Between my heart and your heart there is no help except for my mouth and your ears.","Between my heart and your heart there are no sources of aid except for my mouth and your ears.",
"lībertātem nātūra etiam mūtīs animālibus dedit.","Nature gave liberty even to the mute animals.","Nature gave liberty even to mute animals.","Nature gave freedom even to the mute animals.","Nature gave freedom even to mute animals.","Nature has given liberty to mute animals also.","Nature has given freedom to mute animals also.","Nature gave liberty to mute animals also.","Nature gave freedom to mute animals also.","Nature has given liberty even to mute animals.","Nature has given freedom even to mute animals.",
"nātūrae iūra sacra sunt etiam apud pīrātās.","The rights of nature are sacred even among pirates.","The rights of nature are holy even among pirates.","The justices of nature are sacred even among pirates.","The justices of nature are holy even among pirates.","The laws of nature are sacred even among pirates.","The laws of nature are holy even among pirates.","Nature's laws are sacred even among pirates.","Nature's laws are holy even among pirates.","The laws of nature are sacred even among the pirates.","The laws of nature are holy even among the pirates.",
"intellegere lēgēs nōn verba eārum tenēre, sed vīm ac potestātem.","To understand the laws is not to hold their words, but their force and power.","To understand laws is not to hold their words, but their force and power.","To understand the laws is not to possess their words, but their force and power.","To understand laws is not to possess their words, but their force and power.","To understand the laws is not to hold their words, but their power and authority.","To understand laws is not to hold their words, but their power and authority.","To understand the laws is not to possess their words, but their power and authority.","To understand laws is not to possess their words, but their power and authority.","To understand the laws is to possess not their words, but their power and authority.","To understand laws is to possess not their words, but their power and authority.",
"haec semper in mēnte habēre dēbēs: quid fuistī? quid es? quid eris?","You must always have these things in mind: What were you? What are you? What will you be?","You ought always to have these things in mind: What were you? What are you? What will you be?","You must always hold these things in mind: What were you? What are you? What will you be?","You ought always to hold these things in mind: What were you? What are you? What will you be?","You must always have these things in mind: What were you? What are you? What shall you be?","You ought always to have these things in mind: What were you? What are you? What shall you be?","You must always hold these things in mind: What were you? What are you? What shall you be?","You ought always to hold these things in mind: What were you? What are you? What shall you be?","You must always have these things in mind: What have you been? What are you? What will you be?","You ought always to have these things in mind: What have you been? What are you? What will you be?",
"mors nātūrae lēx est, mors officium mortālium malōrumque omnium remedium est.","Death is a law of nature, death is the duty of mortals and the cure of all evils.","Death is the law of nature, death is the duty of mortals and the cure of all evils.","Death is a law of nature, death is the duty of mortals and the remedy of all evils.","Death is the law of nature, death is the duty of mortals and the remedy of all evils.","Death is a law of nature, death is a duty of mortals and a cure of all evils.","Death is the law of nature, death is a duty of mortals and a cure of all evils.","Death is a law of nature, death is a duty of mortals and a remedy of all evils.","Death is the law of nature, death is a duty of mortals and a remedy of all evils.","Death is a law of nature, death is the duty of mortals and the cure for all evils.","Death is a law of nature, death is the duty of mortals and the remedy for all evils.",
"dē partibus vitae omnēs cōgitāmus, dē tōtā nēmō cōgitat.","We all think about the parts of life, nobody thinks about the whole.","We all think about the parts of life, no one thinks about the whole.","We all ponder about the parts of life, nobody ponders about the whole.","We all ponder about the parts of life, no one ponders about the whole.","We all consider the parts of life, nobody considers the whole.","We all consider the parts of life, no one considers the whole.","We all think about the parts of life, nobody thinks about the whole of life.","We all think about the parts of life, no one thinks about the whole of life.","We all think about the parts of life, nobody thinks about life as a whole.","We all think about the parts of life, no one thinks about life as a whole.",
"saepe solet similis fīlius esse patrī.","Often the son is accustomed to be similar to the father.","The son is often accustomed to be similar to the father.","Often the son is accustomed to be like the father.","The son is often accustomed to be like the father.","Often a son is accustomed to be similar to a father.","A son is often accustomed to be similar to a father.","Often a son is accustomed to be similar to his father.","A son is often accustomed to be similar to his father.","Often a son is accustomed to be similar to the father.","A son is often accustomed to be similar to the father.",
"philosophus contrā omnēs arma gerit, cum cōgitat.","The philosopher carries arms against all, when he thinks.","A philosopher carries arms against all, when he thinks.","The philosopher bears arms against all, when he thinks.","A philosopher bears arms against all, when he thinks.","The philosopher takes up arms against all, when he thinks.","A philosopher takes up arms against all, when he thinks.","The philosopher carries arms against all people, when he thinks.","A philosopher carries arms against all people, when he thinks.","The philosopher carries arms against everyone, when he thinks.","A philosopher carries arms against everyone, when he thinks.",
"vīta brevis est, longa ars.","Life is short, art is long.","Life is brief, art is long.","Life is short, art long.","Life is brief, art long.",,,,,,,
"quid enim contrā vim sine vī facere possumus?","For what are we able to do against force without force?","For what are we able to do against power without power?","For what are we able to do against violence without violence?","For what can we do against force without force?","For what can we do against power without power?","For what can we do against violence without violence?",,,,,
"nihil est ab omnī parte beātum.","Nothing is blessed in every part.","Nothing is in every part blessed.","Nothing is good in every part.","Nothing is in every part good.","Nothing is happy in every part.","Nothing is in every part happy.",,,,,
